SL,CATEGORY,Brand,TYPE/FLAVOUR,ORIGINE,SKU,PACK TYPE,CODE,VERSION,DATE,BARCODE,CYLINDER COMPANY,PRINTING COMPANY,,,,,,,,,
3,DAIRY,FARM FRESH,PASTEURIZED STANDARDIZED MILK,LOCAL,1000ML,POLY,FPSOP,FPSOPVN03,,89411896 05124,,,,,,,,,,,
3,DAIRY,FARM FRESH,UHT MILK,,200ML,UHT POUCH,FFQT,FFQTV04,2024-03-24,89411896 04318,,,,,,,,,,,
3,DAIRY,FARM FRESH,UHT MILK,,500ML,UHT POUCH,FFHT,FFHTV04,2024-03-24,89411896 04325,,,,,,,,,,,
3,DAIRY,FARM FRESH,UHT CHOCOLATE FLAVOURED MILK,,200ML,UHT POUCH,FFCMHQT,FFCMHQTVN03,,89411896 05384,,,,,,,,,,,
3,DAIRY,FARM FRESH,UHT MANGO FLAVOURED MILK,,200ML,UHT POUCH,FFMMHQT,FFMMHQTVN02,,89411896 05377,,,,,,,,,,,
3,FRUIT DRINK,SIPIT,ORANGE SOFT DRINK POWDER,LOCAL,25G,FOIL,SOSP,SOSPFOILV1,2025-02-13,89411896 07418,,,,,,,,,,,
3,FRUIT DRINK,SIPIT,ORANGE SOFT DRINK POWDER,LOCAL,125G,FOIL,SOMP,SOMPFOILV1,2025-02-13,89411896 07425,,,,,,,,,,,
3,FRUIT DRINK,SIPIT,ORANGE SOFT DRINK POWDER,LOCAL,250G,FOIL,SOQP,SOQPFOILV1,2025-02-13,89411896 07432,,,,,,,,,,,
3,FRUIT DRINK,SIPIT,MANGO SOFT DRINK POWDER,LOCAL,25G,FOIL,SMSP,SMSPFOILV1,2025-02-13,89411896 07456,,,,,,,,,,,
3,FRUIT DRINK,SIPIT,MANGO SOFT DRINK POWDER,LOCAL,125G,FOIL,SMMP,SMMPFOILV1,2025-02-13,89411896 07463,,,,,,,,,,,
3,FRUIT DRINK,SIPIT,MANGO SOFT DRINK POWDER,LOCAL,250G,FOIL,SMQP,SMQPFOILV1,2025-02-13,89411896 07470,,,,,,,,,,,
3,CONDIMENTS,AAFI,CULINARY TOMATO SAUCE,,10G,CHASE,,,,,,,,,,,,,,,
3,CONDIMENTS,AAFI,CULINARY TOMATO SAUCE,,200G,POUCH,,,,,,,,,,,,,,,
3,CONDIMENTS,AAFI,CULINARY TOMATO SAUCE,,340G,GLASS BOTTLE,,,,,,,,,,,,,,,
3,CONDIMENTS,AAFI,CULINARY TOMATO SAUCE,,1000G,GLASS BOTTLE,,,,,,,,,,,,,,,
3,BAKERY,AAFI,PLAIN TOAST,LOCAL,250G,PILLOW,,APTLOC250V02,2023-10-18,89411896 01973,,,,,,,,,,,
3,BAKERY,AAFI,PLAIN TOAST,,150G,PILLOW,EAPTSB,EAPTSBV01,,89411896 01966,,,,,,,,,,,
3,BAKERY,AAFI,SWEET TOAST,,300G,PILLOW,EASTFB,EASTFBV01,,89411896 0201,,,,,,,,,,,
3,BAKERY,AAFI,SWEET TOAST,,150G,PILLOW,EASTSB,EASTSBV01,,89411896 0200,,,,,,,,,,,
3,BAKERY,AAFI,BABY TOAST,LOCAL,200G,PILLOW,,ABTLOC200V01,2023-10-18,89411896 01997,,,,,,,,,,,
3,BAKERY,AAFI,BABY TOAST,,150G,PILLOW,EABTSB,EABTSBV01,,89411896 0198,,,,,,,,,,,
3,BAKERY,AAFI,DRY CAKE,LOCAL,300G,BOX,,ADCLOC300V01,2023-10-16,89411896 02031,,,,,,,,,,,
3,BAKERY,AAFI,DRY CAKE,LOCAL,200G,BOX,,ADCLOC200V01,2023-10-16,89411896 02048,,,,,,,,,,,
4,GRAINS,AAFI,CHINIGURA AEROMETIC RICE,,1000G,POUCH,ERICEO,,,,,,,,,,,,,,
5,GRAINS,AAFI,CHINIGURA AEROMETIC RICE,,5000G,POUCH,ERICEF,,,,,,,,,,,,,,
6,GRAINS,AAFI,CHINIGURA AEROMETIC RICE,,4500G,POUCH,,,,,,,,,,,,,,,
6,BEVERAGE,WILD BREW,APPLE,COMMON,300ML,FAT CAN,,WBAM33V1,2024-07-09,89411896 00679,,,,,,,,,,,
6,BEVERAGE,WILD BREW,ORIGINAL,COMMON,300ML,FAT CAN,,WOSCV00,,89411896 0068,,,,,,,,,,,
6,BEVERAGE,WILD BREW,PEACH,COMMON,300ML,FAT CAN,,WPSCV00,,89411896 0069,,,,,,,,,,,
6,BEVERAGE,WILD BREW,STRAWBERRY,COMMON,300ML,FAT CAN,,WSSCV00,,89411896 0070,,,,,,,,,,,
6,BEVERAGE,SPEED,GINGER,COMMON,250ML,CAN,,SG25V3,2025-02-16,89411896 00716,,,,,,,,,,,
6,BEVERAGE,SPEED,GREEN APPLE,COMMON,250ML,CAN,,SGA25V3,2025-02-16,89411896 00723,,,,,,,,,,,
6,BEVERAGE,SPEED,GUARANA,LOCAL,250ML,CAN,,SGRQCV00,,89411896 0073,,,,,,,,,,,
6,BEVERAGE,SPEED,MOJITO,COMMON,250ML,CAN,,SM25V01,,89411896 0074,,,,,,,,,,,
6,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,EXPORT ,250ML,PET,FQP,FQPECNV01,,89411896 05711,,,,,,,,,,,
6,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,EXPORT ,500ML,PET,FHP,FHPECNV01,,89411896 05728,,,,,,,,,,,
6,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK,EXPORT ,1000ML,PET,FOP,FOPECNV01,,89411896 05735,,,,,,,,,,,
6,FRUIT DRINK,FRUTIKA,MANGO FRUIT DRINK (PULP BASED),INDIA,200ML,PET,EFSP,FSPEINV01,,89411896 06091,,,,,,,,,,,
6,BEVERAGE,MOJO,COLA,CP OFFER,250ML,PET,,MQPCPV02,,89411896 00044,,,,,,,,,,,
6,BEVERAGE,MOJO ,COLA,CP OFFER,2000ML,PET,,MTPCPV03,,89411896 0008,,,,,,,,,,,
6,BEVERAGE,MOJO,COLA,CP OFFER,1000ML,PET,,MOPCPV03,,89411896 0007,,,,,,,,,,,
6,BEVERAGE,CLEMON,LEMON,CP OFFER,1000ML,PET,,COPCPV06,2023-08-27,89411896 00143,,,,,,,,,,,
6,BEVERAGE,CLEMON,LEMON,CP OFFER,2000ML,PET,,CTPCPV06,,89411896 00150,,,,,,,,,,,
6,DAIRY,FARM FRESH,SWEETENED YOGURT (CURD),LOCAL,75G,CLUSTER,FYSW-80/8,FYSW-75/8V01,,89411896 0485,,,,,,,,,,,
6,DAIRY,FARM FRESH,SWEETENED YOGURT (CURD),LOCAL,75G,CUP,,FYSW-75CUPV01,,89411896 0483,,,,,,,,,,,
6,DAIRY,FARM FRESH,SWEETENED YOGURT (CURD),LOCAL,100G,CUP,FYSMC,FYSMCV3,2024-05-07,89411896 04714,,,,,,,,,,,
6,BEVERAGE,FORCE,ENERGY DRINK,INDIA,250ML,CAN,EFQC24,EFQC24V2,2024-12-01,89411896 0031,,,,,,,,,,,
6,FRUIT DRINK,DRINKEAT,PINEAPPLE,LOCAL,250ML,PET,DEP250,DEP250V2,2024-06-20,89411896 06152,,,,,,,,,,,
6,FRUIT DRINK,DRINKEAT,LITCHI,LOCAL,250ML,PET,DEL250,DEL250V2,2024-06-20,89411896 06121,,,,,,,,,,,
